group,id,tick,x,y,vx,vy,rotation,depth,local_depth,local_surface,overlap,caps,unresolved,displaced
godot-controls-final,001-player-Stone-flat-s00,301,144.0,562.951293945313,0.0,86.0,0.0,377.951293945313,377.951293945313,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,361,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,421,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,481,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,541,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,601,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,661,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,721,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,781,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,841,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,901,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,961,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,1021,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,1081,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
godot-controls-final,001-player-Stone-flat-s00,1141,144.0,568.991394042969,0.0,0.0,0.0,383.991394042969,383.991394042969,192.0,112,0,0,0
