group,id,material,mode,layout,name,seed,ticks,hash,data_sha256,completed_ticks,peak_depth,final_depth,late_creep,floor_contact_tick,grounded_ticks,max_overlap,intermediate_caps,final_caps,displaced,unresolved,max_sample_age,stale,duplicates,water_delta,global_water_delta,water_below_floor,counts_conserved,overflow,tick_p50_us,tick_p95_us,tick_max_us,coupling_p50_us,coupling_p95_us,coupling_max_us,displacement_impulse_x,displacement_impulse_y,pre_floor_displacement_y,boundary_impulse_x,boundary_impulse_y,pre_floor_boundary_y,contact_impulse_x,contact_impulse_y,pre_floor_contact_y,applied_impulse_x,applied_impulse_y,pre_floor_applied_y,visual,displacement,boundary,contact,cap,density_limit,mass,damping,friction,delay,duplicate,telemetry,workers,serial,fallback,drop,angle,size,speed,conservation
godot-controls-final,006-player-Gunpowder-flat-s03,26,player,flat,player-Gunpowder-flat,3,1800,313af83b443cfb49,a4cea95f951f93c82b03a74bd9aed401eaf02ab5d681b61042fe325e205d18f8,1800,383.991455078125,383.991455078125,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,12389.0,3.0,9.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,006-player-Gunpowder-flat-s04,26,player,flat,player-Gunpowder-flat,4,1800,d324ade545168b67,70cc49c965bf2182730498e4a5dc3d2c7b0917d162e2e14e3445be6f5ca5a622,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,13298.0,3.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,007-player-Coal-flat-s00,27,player,flat,player-Coal-flat,0,1800,bdd5cd29815b6cab,39dca4ec0f706f01fb450055038b5fe4f8786824570101ea0a1d4e6d67714d1a,1800,383.991394042969,383.991394042969,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,11250.0,3.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,007-player-Coal-flat-s01,27,player,flat,player-Coal-flat,1,1800,9c74889c71fba7f4,c74f0942891bbf09100f2bcc1f0d1082dedc42562c697377ae6a7079eadd7205,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,5.0,11918.0,4.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,007-player-Coal-flat-s02,27,player,flat,player-Coal-flat,2,1800,630da3ddb3530f98,e9150922a5b4b1622ee7e4eeb08d8e9563bb3d1b91ef40b9814f659e791be70a,1800,383.991577148438,383.991577148438,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,3.0,4.0,14667.0,4.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,007-player-Coal-flat-s03,27,player,flat,player-Coal-flat,3,1800,96e3b19346689401,6c51e3562c1ff268dd30807259752e319aaf70bd6401d992fd476a44b57b29a9,1800,383.991455078125,383.991455078125,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,10107.0,3.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,007-player-Coal-flat-s04,27,player,flat,player-Coal-flat,4,1800,39eb1291f0bd9267,f31828f70b21e2ba5b277d2f04dc33e4967081f058b89d97064462a3bbf02784,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,10659.0,3.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,008-player-Rust-flat-s00,29,player,flat,player-Rust-flat,0,1800,db58ca0ca9dd5cab,884ca42b1ce9d2852817847de2bab0468d732d190b1c4b0416781fb17be7ea7a,1800,383.991394042969,383.991394042969,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,8261.0,3.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,008-player-Rust-flat-s01,29,player,flat,player-Rust-flat,1,1800,ab29e62f2ef2bdbc,9e09b547e4b3e788b62323141ffaeced9e2c47bac0cee4d4507bf81e1748d7f6,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,4.0,8191.0,4.0,9.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,008-player-Rust-flat-s02,29,player,flat,player-Rust-flat,2,1800,544d94210574dd98,b95444c0acd99ed462ed16e788ecf33edefcec5bc20914611aee2b74bcfaf6d7,1800,383.991577148438,383.991577148438,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,5.0,7093.0,3.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,008-player-Rust-flat-s03,29,player,flat,player-Rust-flat,3,1800,5a5caefa4bcaedfd,112aaf5f2472869077265ae4141b9f2c3aa67631dc87babc9c20dc860f4ba556,1800,383.991455078125,383.991455078125,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,5.0,6151.0,3.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,008-player-Rust-flat-s04,29,player,flat,player-Rust-flat,4,1800,ea59a37575eeb027,796fd7f68bae63b2ca48a14292255c896a4c93b69fe19f06a3138d83f1f26edf,1800,383.991516113281,383.991516113281,,305,1496,112,0,0,0,0,0,0,0,0,,,True,0,2.0,5.0,5580.0,3.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
godot-controls-final,009-barrel-Sand-flat-s00,2,barrel,flat,barrel-Sand-flat,0,1800,78695c06d5b4e852,ffd748f79ea93675643e6ecf22ab2f5a6e2cba882305fba329edde987a52e569,1800,384.002147190076,384.001439800166,,155,0,112,21820,294,153,133524,0,0,0,0,,,False,0,30.0,1334.0,9113.0,215.0,370.0,707.0,1844.72155761719,4141.14306640625,-596.65234375,-1.21599876880646,3943.09936523438,-57.1519927978516,5.83999729156494,3181.68872070313,1204.31945800781,516.325073242188,5007.7548828125,215.162826538086,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,009-barrel-Sand-flat-s01,2,barrel,flat,barrel-Sand-flat,1,1800,ddc238f44b291e21,7762441850f8fa07d004969ca29e147f46e550effc3a35ab2a6ef1dca8bea8ec,1800,384.001748570653,384.001748046487,,156,0,112,19185,1735,135,125252,0,0,0,0,,,False,0,595.0,1039.0,8188.0,182.0,371.0,638.0,-1475.13012695313,4144.06005859375,-590.760375976563,-2.73599863052368,3940.66748046875,-57.4559936523438,-0.199999898672104,16381.3876953125,1190.51953125,-225.304916381836,5137.8505859375,211.156463623047,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,009-barrel-Sand-flat-s02,2,barrel,flat,barrel-Sand-flat,2,1800,f3449b68b8e32b20,f45cce19fbe64225c810be8079bbec0c9b626ffbf1ec7a9d88f8551841cb817c,1800,384.001934072835,384.001932523249,,158,0,112,19106,1733,127,138522,0,0,0,0,,,False,0,536.0,931.0,8066.0,198.0,366.0,695.0,-1476.00854492188,4145.634765625,-583.44970703125,-2.73599863052368,3935.8037109375,-57.4559936523438,-0.159999877214432,3235.4970703125,1192.07946777344,-686.598693847656,5079.0341796875,202.061462402344,True,,,,,,,,,,,,,,,,,,,
godot-controls-final,009-barrel-Sand-flat-s03,2,barrel,flat,barrel-Sand-flat,3,1800,b5560fe35370359e,8f472af456e0320d0dea28e5ab54bb671dfc8afc04ee9216990b982e8a4c4c78,1800,384.001743594097,384.001739157996,,154,0,112,17227,1736,128,136697,0,0,0,0,,,False,0,538.0,912.0,7612.0,187.0,345.0,673.0,-1165.68798828125,4153.50146484375,-587.071044921875,-3.34399890899658,3945.53125,-57.4559936523438,-0.159999877214432,17638.51953125,1178.51953125,-182.854904174805,5144.24853515625,209.705459594727,True,,,,,,,,,,,,,,,,,,,
