id,material,layout,seed,support_cells,workers,peak_depth,final_depth,grounded_ticks,max_overlap,floor_tick,sha256
player-229,14,flat,4,9,1,0.0,0.0,1768,0,-1,d5038076e886867a4683e3086d06133fc150214f6fb4f3277ad303e61cfd44ad
player-230,14,slope,0,9,1,22.0000152587891,21.9811401367188,1432,1,-1,513d7200a00b6f836ce458db9b28cff122dc40ecddc82d91198fb943d99173b4
player-231,14,slope,1,9,1,22.0000152587891,21.9811401367188,1432,1,-1,84408195de6cd063e6204d4ea9672b67b08e761a18e063bc85e03a41c84d8c0c
player-232,14,slope,2,9,1,22.0000152587891,21.9811401367188,1432,1,-1,94af08d9697d04d5a47eeeaf6a1cea91fe243fd1e5c84ab49e1a20a313ea85a7
player-233,14,slope,3,9,1,22.0000152587891,21.9811401367188,1432,1,-1,f54022cf3772d24d7e463e6cdd520fd5e8eea36f0fed8b8d5465c82aa6a01423
player-234,14,slope,4,9,1,22.0000152587891,21.9811401367188,1432,1,-1,822b7d1c2b63d77896695526e651a962f9374941886439b666242540217f62f9
player-235,14,side,0,9,1,0.0,0.0,1596,2,-1,faa82c51f715b111160b37a4e74e3323e267f3112ec7f9aa3ef20c538cdf1cf1
player-236,14,side,1,9,1,0.0,0.0,1603,2,-1,67f79b97f5691c54b62eefaca4e02a272eeaae7113f66d598d5d1a9ae18fc911
player-237,14,side,2,9,1,0.0,0.0,1588,2,-1,28479d941390090253b4bbfc0ca108b28368c6e0595de49c691c5cc226c8e3c7
player-238,14,side,3,9,1,0.0,0.0,1595,1,-1,d76945932ba3790467c83d9f0abfc78b8d31323b6e1a96735b1d7824aaa79589
player-239,14,side,4,9,1,0.0,0.0,1582,2,-1,11e8e71abb738df609ed7dac5c0bb0e24c342450b4942246a4316af0d95b7ae1
player-240,29,flat,0,9,1,0.0,0.0,1768,0,-1,4130968d9c24168a1d93187efd244fa89c9ce06fc96ce8509a129e26e517f3db
player-241,29,flat,1,9,1,0.0,0.0,1768,0,-1,fd8faeaf13910cba44e62a49c8ae7a915ef26f5041f4840845d68df2ce371e54
player-242,29,flat,2,9,1,0.0,0.0,1768,0,-1,096290dbf98fc8e0c5252a215a6fc07d436898411d3cd00e3da18aa8c80dbb7c
player-243,29,flat,3,9,1,0.0,0.0,1768,0,-1,abab96db2bfaf856a9ff3d383775832b8cfc74f97c3a5c05aa2132353db40649
player-244,29,flat,4,9,1,0.0,0.0,1768,0,-1,164a5e5d9705aa6661111ecab8dfe871768f385364a997dcf3efec4e4d76f2f2
player-245,29,slope,0,9,1,22.0000152587891,21.9811401367188,1432,1,-1,29ffbb3ca61c734234121a0e08ac48094a4186b1817a0cd71fcba2b251999afd
player-246,29,slope,1,9,1,22.0000152587891,21.9811401367188,1432,1,-1,37b3706b87d380cccf0931bf53fbfe2c4bab50429678b929defb9175a1e42656
player-247,29,slope,2,9,1,22.0000152587891,21.9811401367188,1432,1,-1,fc93d490e90ad7a063c128840df23849066cd0dc56461e1045c23a59087baeb5
player-248,29,slope,3,9,1,22.0000152587891,21.9811401367188,1432,1,-1,315b3bc839d5329bcf30e292050211558b18b0ab652ba910a1d7e37a1db7236b
player-249,29,slope,4,9,1,22.0000152587891,21.9811401367188,1432,1,-1,14ba3420e6e1ad0096463e4194270c43a6629924d8e5696719de930222fc3611
player-250,29,side,0,9,1,0.0,0.0,1596,2,-1,debb072508b57aa7b0badf5c68ac8147776198ebb893963190aad584072a8318
player-251,29,side,1,9,1,0.0,0.0,1603,2,-1,f0f3d05c71c4b372b83905a691cb17dbcaeeee864b70e505a26d3921a82c6840
player-252,29,side,2,9,1,0.0,0.0,1588,2,-1,cdc2383bae2632b33e793b18cc01311c5a28ff857f82ac61032ec619a60f7dcd
player-253,29,side,3,9,1,0.0,0.0,1595,1,-1,41705ef28b1b33bf8cb28ca3a987a81d100e394745400566e9cebc02a4615b60
player-254,29,side,4,9,1,0.0,0.0,1582,2,-1,8d2437f32637b7f79958523d688058016743091eaa01c0674f5723f03c2f22f2
player-255,14,walk,0,8,1,0.0,0.0,1768,0,-1,f47fe1a52b033b193c454433135ef59f8c7c3655c356a08ea3935ccc14ed6b22
player-256,14,walk,0,8,4,0.0,0.0,1768,0,-1,3ffb4d1449c38d314d05ac62c2560172a9a9c5044e4730695f95001203eec369
